x,y,z,name,phi,kx,facies,ntg,prod
480,640,0.0,0,0.0958896,98.3066,3.0,0,0.0768540472081
480,640,6.0,0,0.087725,163.868,3.0,1,0.0703103019718
480,640,12.0,0,0.0905885,97.0639,1.0,1,0.0726053137538
480,640,18.0,0,0.114527,115.374,3.0,0,0.091791566071
480,640,24.0,0,0.114037,122.353,2.0,1,0.0913991678715
480,640,30.0,0,0.114327,122.434,2.0,1,0.0916312132377
480,640,36.0,0,0.113424,108.743,2.0,1,0.090907343888
480,640,42.0,0,0.0923178,106.601,3.0,0,0.073991294542
480,640,48.0,0,0.0542472,99.1753,2.0,0,0.0434782818903
480,640,54.0,0,0.0660605,91.7255,2.0,0,0.0529465233074
480,640,60.0,0,0.102692,113.727,2.0,1,0.0823060995711
480,640,66.0,0,0.0857859,117.808,1.0,0,0.0687561398884
480,640,72.0,0,0.0954383,122.765,2.0,0,0.0764923874672
480,640,78.0,0,0.0812063,96.5451,3.0,0,0.065085664917
480,640,84.0,0,0.0977325,106.277,1.0,0,0.0783311481922
480,640,90.0,0,0.108314,122.466,2.0,1,0.0868123071784
480,640,96.0,0,0.0928301,127.275,1.0,0,0.0744019277898
480,640,102.0,0,0.098952,125.252,2.0,0,0.0793085398256
480,640,108.0,0,0.103852,87.4277,1.0,1,0.0832356794656
480,640,114.0,0,0.0973449,103.687,1.0,0,0.078020433966
480,640,120.0,0,0.0998598,134.258,2.0,0,0.0800361160711
480,640,126.0,0,0.0703391,143.878,2.0,0,0.0563757661797
480,640,132.0,0,0.100302,122.238,2.0,1,0.0803902586708
480,640,138.0,0,0.0849302,103.311,2.0,0,0.0680702960628
480,640,144.0,0,0.0817143,136.462,2.0,0,0.0654928203601
480,640,150.0,0,0.117569,171.2,4.0,1,0.094229557736
480,640,156.0,0,0.121828,151.768,2.0,0,0.0976432094302
480,640,162.0,0,0.109163,135.664,1.0,1,0.0874921411413
480,640,168.0,0,0.122549,172.278,2.0,1,0.0982208289797
480,640,174.0,0,0.106849,214.7,2.0,1,0.0856376650224
480,640,180.0,0,0.111315,215.831,2.0,0,0.0892174692638
480,640,186.0,0,0.111555,212.066,2.0,1,0.0894096831923
480,640,192.0,0,0.122187,207.569,2.0,1,0.097930834876
480,640,198.0,0,0.125214,189.691,3.0,0,0.100357264922
480,640,204.0,0,0.121756,220.494,4.0,0,0.0975856257292
480,640,210.0,0,0.123521,167.699,2.0,1,0.0990003035629
480,640,216.0,0,0.122473,186.995,2.0,1,0.0981606146956
480,640,222.0,0,0.128143,179.593,2.0,1,0.102704911512
480,640,228.0,0,0.125679,60.6931,4.0,1,0.100730207837
480,640,234.0,0,0.126531,159.342,2.0,1,0.101412874992
480,640,240.0,0,0.126724,213.801,2.0,1,0.101567353485
480,640,246.0,0,0.129557,210.72,2.0,1,0.103837801717
480,640,252.0,0,0.13394,170.138,4.0,0,0.107350761053
480,640,258.0,0,0.129742,216.152,2.0,1,0.103986300335
480,640,264.0,0,0.129585,181.467,4.0,1,0.103860626052
480,640,270.0,0,0.127278,233.796,2.0,0,0.102011352997
480,640,276.0,0,0.146949,256.55,2.0,1,0.117777609706
480,640,282.0,0,0.14892,193.804,2.0,1,0.119356981604
480,640,288.0,0,0.133844,244.328,3.0,1,0.107273555446
480,640,294.0,0,0.159573,230.272,3.0,1,0.127895675109
480,640,300.0,0,0.16599,208.929,4.0,1,0.133038305664
480,640,306.0,0,0.174418,253.831,2.0,1,0.139793632057
480,640,312.0,0,0.211822,206.018,3.0,1,0.169771883305
480,640,318.0,0,0.213246,235.561,3.0,1,0.170913327162
480,640,324.0,0,0.209723,472.243,3.0,1,0.168090054414
480,640,330.0,0,0.215833,491.138,3.0,1,0.172987090841
480,640,336.0,0,0.213571,438.446,3.0,1,0.171173604413
480,640,342.0,0,0.212172,398.58,3.0,1,0.170052947478
480,640,348.0,0,0.194987,548.365,1.0,1,0.15627931878
480,640,354.0,0,0.192211,437.992,3.0,0,0.154054364666
480,640,360.0,0,0.206839,411.452,1.0,1,0.165778466813
480,640,366.0,0,0.209803,445.234,3.0,0,0.168153960279
480,640,372.0,0,0.21312,466.321,3.0,1,0.170812115365
480,640,378.0,0,0.217152,650.585,3.0,1,0.174044157143
480,640,384.0,0,0.201581,447.511,4.0,1,0.161564361492
480,640,390.0,0,0.196252,547.809,3.0,1,0.157293130437
480,640,396.0,0,0.205468,456.739,3.0,1,0.164679540569
480,640,402.0,0,0.215008,390.245,3.0,1,0.172325740673
480,640,408.0,0,0.216702,505.612,3.0,1,0.173683296866
480,640,414.0,0,0.204947,540.873,3.0,1,0.164261617332
480,640,420.0,0,0.205288,516.255,3.0,0,0.164534903007
480,640,426.0,0,0.206106,408.619,3.0,1,0.165190479029
480,640,432.0,0,0.215138,483.384,3.0,1,0.172430092675
480,640,438.0,0,0.213478,562.397,4.0,0,0.17109935502
480,640,444.0,0,0.198828,538.852,4.0,1,0.159357409237
480,640,450.0,0,0.218071,538.852,3.0,1,0.174780244384
480,640,456.0,0,0.211448,538.852,3.0,0,0.169472511638
480,640,462.0,0,0.217334,538.852,4.0,1,0.174189622902
480,640,468.0,0,0.208097,538.852,3.0,1,0.166786583828
480,640,474.0,0,0.217918,510.992,3.0,1,0.174657625752
480,640,480.0,0,0.218973,538.852,3.0,1,0.17550360759
480,640,486.0,0,0.216076,538.852,3.0,1,0.173181356787
480,640,492.0,0,0.221821,538.852,3.0,1,0.177785863194
480,640,498.0,0,0.21951,538.852,2.0,1,0.175934167377
480,640,504.0,0,0.225467,442.374,4.0,0,0.180708664747
480,640,510.0,0,0.226592,538.852,4.0,1,0.18160988598
480,640,516.0,0,0.214979,538.852,3.0,1,0.17230233676
480,640,522.0,0,0.228218,538.852,4.0,1,0.18291361496
480,640,528.0,0,0.229571,538.852,1.0,1,0.183997877049
480,640,534.0,0,0.210351,538.852,1.0,1,0.168593072373
480,640,540.0,0,0.224397,448.443,3.0,1,0.179850742247
480,640,546.0,0,0.22684,527.607,4.0,0,0.181808622672
480,640,552.0,0,0.234559,660.514,4.0,1,0.187995674509
480,640,558.0,0,0.239739,586.844,4.0,1,0.192147505515
480,640,564.0,0,0.22458,500.743,4.0,1,0.179997598892
480,640,570.0,0,0.237364,513.944,4.0,0,0.19024402152
480,640,576.0,0,0.244003,502.591,2.0,0,0.19556476618
480,640,582.0,0,0.242644,556.341,4.0,1,0.194475136048
480,640,588.0,0,0.239876,523.199,2.0,1,0.192257023494
480,640,594.0,0,0.237798,604.818,4.0,1,0.190591762017
480,640,600.0,0,0.240063,559.396,4.0,1,0.192406647877
